 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
    0.346633         7.97348    
    0.346996         7.98195    
    0.347360         7.99041    
    0.348722         8.02219    
    0.350500         8.06364    
    0.351863         8.09541    
    0.352226         8.10387    
    0.352589         8.11233    
    0.353952         8.14409    
    0.355730         8.18552    
    0.357093         8.21728    
    0.357456         8.22574    
    0.357819         8.23420    
    0.359182         8.26594    
    0.360960         8.30736    
    0.362322         8.33910    
    0.362686         8.34755    
    0.363049         8.35601    
    0.364411         8.38775    
    0.366189         8.42915    
    0.367552         8.46088    
    0.367915         8.46934    
    0.368278         8.47779    
    0.369641         8.50952    
    0.371419         8.55091    
    0.372782         8.58264    
    0.373145         8.59109    
    0.373508         8.59955    
    0.374871         8.63127    
    0.376649         8.67266    
    0.378011         8.70438    
    0.378375         8.71284    
    0.378738         8.72129    
    0.380100         8.75301    
    0.381878         8.79440    
    0.383241         8.82612    
    0.383604         8.83457    
    0.383967         8.84302    
    0.385330         8.87474    
    0.387108         8.91613    
    0.388471         8.94785    
    0.388834         8.95630    
    0.389197         8.96476    
    0.390560         8.99648    
    0.392338         9.03787    
    0.393700         9.06959    
    0.394064         9.07805    
    0.394427         9.08650    
    0.395789         9.11822    
    0.397567         9.15962    
    0.398930         9.19135    
    0.399293         9.19980    
    0.399656         9.20825    
    0.401019         9.23998    
    0.402797         9.28138    
    0.404160         9.31312    
    0.404523         9.32157    
    0.404886         9.33003    
    0.406249         9.36176    
    0.408027         9.40317    
    0.409390         9.43491    
    0.409753         9.44337    
    0.410116         9.45182    
    0.411478         9.48357    
    0.413256         9.52498    
    0.414619         9.55673    
    0.414982         9.56519    
    0.415345         9.57365    
    0.416708         9.60540    
    0.418486         9.64682    
    0.419849         9.67858    
    0.420212         9.68704    
    0.420575         9.69550    
    0.421938         9.72726    
    0.423716         9.76870    
    0.425079         9.80046    
    0.425442         9.80892    
    0.425805         9.81739    
    0.427168         9.84915    
    0.428946         9.89060    
    0.430308         9.92238    
    0.430671         9.93084    
    0.431034         9.93931    
    0.432397         9.97109    
    0.434175         10.0125    
    0.435538         10.0443    
    0.435901         10.0528    
    0.436264         10.0613    
    0.437627         10.0931    
    0.439405         10.1345    
    0.440768         10.1663    
    0.441131         10.1748    
    0.441494         10.1833    
    0.442857         10.2151    
    0.444635         10.2566    
    0.445997         10.2884    
    0.446360         10.2968    
    0.446724         10.3053    
    0.448086         10.3371    
    0.449864         10.3786    
    0.451227         10.4104    
    0.451590         10.4189    
    0.451953         10.4274    
    0.453316         10.4592    
    0.455094         10.5007    
    0.456457         10.5326    
    0.456820         10.5411    
    0.457183         10.5495    
    0.458546         10.5814    
    0.460324         10.6229    
    0.461686         10.6547    
    0.462049         10.6632    
    0.462413         10.6717    
    0.463775         10.7036    
    0.465553         10.7451    
    0.466916         10.7770    
    0.467279         10.7855    
    0.467642         10.7939    
    0.469005         10.8258    
    0.470783         10.8674    
    0.472146         10.8992    
    0.472509         10.9077    
    0.472872         10.9162    
    0.474235         10.9481    
    0.476013         10.9897    
    0.477375         11.0216    
    0.477739         11.0301    
    0.478102         11.0386    
    0.479464         11.0704    
    0.481242         11.1120    
    0.482605         11.1439    
    0.482968         11.1524    
    0.483331         11.1609    
    0.484694         11.1928    
    0.486472         11.2345    
    0.487835         11.2664    
