 Poloidal flux Psi
  rad  pla 
 1408 1006
 rho(m) Psi 
     2.26701         74.5690    
     2.27048         74.7437    
     2.27140         74.7903    
     2.27232         74.8368    
     2.27579         75.0113    
     2.28031         75.2390    
     2.28378         75.4135    
     2.28470         75.4600    
     2.28562         75.5064    
     2.28909         75.6807    
     2.29361         75.9081    
     2.29708         76.0822    
     2.29800         76.1287    
     2.29892         76.1750    
     2.30239         76.3491    
     2.30691         76.5761    
     2.31038         76.7500    
     2.31130         76.7963    
     2.31222         76.8426    
     2.31569         77.0164    
     2.32021         77.2430    
     2.32368         77.4166    
     2.32460         77.4629    
     2.32552         77.5091    
     2.32899         77.6826    
     2.33351         77.9088    
     2.33698         78.0821    
     2.33790         78.1283    
     2.33882         78.1744    
     2.34229         78.3475    
     2.34681         78.5733    
     2.35028         78.7463    
     2.35120         78.7924    
     2.35212         78.8384    
     2.35559         79.0112    
     2.36011         79.2365    
     2.36358         79.4092    
     2.36450         79.4552    
     2.36542         79.5011    
     2.36889         79.6736    
     2.37341         79.8984    
     2.37688         80.0707    
     2.37780         80.1166    
     2.37872         80.1624    
     2.38219         80.3345    
     2.38671         80.5589    
     2.39018         80.7307    
     2.39110         80.7765    
     2.39202         80.8222    
     2.39549         80.9939    
     2.40001         81.2178    
     2.40348         81.3892    
     2.40440         81.4349    
     2.40532         81.4806    
     2.40879         81.6518    
     2.41331         81.8751    
     2.41678         82.0462    
     2.41770         82.0918    
     2.41862         82.1373    
     2.42209         82.3081    
     2.42661         82.5309    
     2.43008         82.7014    
     2.43100         82.7469    
     2.43192         82.7923    
     2.43539         82.9627    
     2.43991         83.1848    
     2.44338         83.3550    
     2.44430         83.4003    
     2.44522         83.4456    
     2.44869         83.6155    
     2.45321         83.8371    
     2.45668         84.0067    
     2.45760         84.0519    
     2.45852         84.0971    
     2.46199         84.2665    
     2.46651         84.4874    
     2.46998         84.6566    
     2.47090         84.7017    
     2.47182         84.7467    
     2.47529         84.9156    
     2.47981         85.1358    
     2.48328         85.3045    
     2.48420         85.3494    
     2.48512         85.3943    
     2.48859         85.5627    
     2.49311         85.7823    
     2.49658         85.9504    
     2.49750         85.9952    
     2.49842         86.0399    
     2.50189         86.2078    
     2.50641         86.4266    
     2.50988         86.5942    
     2.51080         86.6389    
     2.51172         86.6834    
     2.51519         86.8508    
     2.51971         87.0689    
     2.52318         87.2359    
     2.52410         87.2804    
     2.52502         87.3248    
     2.52849         87.4916    
     2.53301         87.7089    
     2.53648         87.8753    
     2.53740         87.9197    
     2.53832         87.9640    
     2.54179         88.1301    
     2.54631         88.3467    
     2.54978         88.5125    
     2.55070         88.5567    
     2.55162         88.6008    
     2.55509         88.7664    
     2.55961         88.9821    
     2.56308         89.1473    
     2.56400         89.1913    
     2.56492         89.2353    
     2.56839         89.4002    
     2.57291         89.6151    
     2.57638         89.7797    
     2.57730         89.8235    
     2.57822         89.8673    
     2.58169         90.0316    
     2.58621         90.2457    
     2.58968         90.4096    
     2.59060         90.4532    
     2.59152         90.4968    
     2.59499         90.6604    
     2.59951         90.8737    
     2.60298         91.0369    
     2.60390         91.0804    
     2.60482         91.1238    
     2.60829         91.2867    
     2.61281         91.4990    
     2.61628         91.6615    
     2.61720         91.7049    
     2.61812         91.7481    
     2.62159         91.9103    
     2.62611         92.1217    
     2.62958         92.2835    
     2.63050         92.3266    
     2.63142         92.3697    
     2.63489         92.5312    
     2.63941         92.7416    
     2.64288         92.9027    
     2.64380         92.9456    
     2.64472         92.9884    
     2.64819         93.1492    
     2.65271         93.3587    
     2.65618         93.5190    
     2.65710         93.5618    
     2.65802         93.6044    
     2.66149         93.7644    
     2.66601         93.9729    
     2.66948         94.1325    
     2.67040         94.1750    
     2.67132         94.2174    
     2.67479         94.3767    
     2.67931         94.5841    
     2.68278         94.7429    
     2.68370         94.7852    
     2.68462         94.8274    
     2.68809         94.9859    
     2.69261         95.1923    
     2.69608         95.3503    
     2.69700         95.3924    
     2.69792         95.4344    
     2.70139         95.5920    
     2.70591         95.7974    
     2.70938         95.9546    
     2.71030         95.9965    
     2.71122         96.0382    
     2.71469         96.1951    
     2.71921         96.3993    
     2.72268         96.5557    
     2.72360         96.5973    
     2.72452         96.6389    
     2.72799         96.7948    
     2.73251         96.9980    
     2.73598         97.1535    
     2.73690         97.1949    
     2.73782         97.2362    
     2.74129         97.3913    
     2.74581         97.5934    
     2.74928         97.7480    
     2.75020         97.7892    
     2.75112         97.8303    
     2.75459         97.9845    
     2.75911         98.1854    
     2.76258         98.3391    
     2.76350         98.3800    
     2.76442         98.4209    
     2.76789         98.5742    
     2.77241         98.7739    
     2.77588         98.9267    
     2.77680         98.9674    
     2.77772         99.0080    
     2.78119         99.1604    
     2.78571         99.3589    
     2.78918         99.5108    
     2.79010         99.5513    
     2.79102         99.5916    
     2.79449         99.7431    
     2.79901         99.9404    
     2.80248         100.091    
     2.80340         100.132    
     2.80432         100.172    
     2.80779         100.322    
     2.81231         100.518    
     2.81578         100.668    
     2.81670         100.708    
     2.81762         100.748    
     2.82109         100.897    
     2.82561         101.092    
     2.82908         101.241    
     2.83000         101.281    
     2.83000         101.281    
     2.83030         101.293    
     2.83140         101.341    
     2.83285         101.403    
     2.83395         101.450    
     2.83425         101.463    
     2.83455         101.476    
     2.83565         101.523    
     2.83710         101.585    
     2.83820         101.632    
     2.83850         101.645    
     2.83880         101.658    
     2.83990         101.705    
     2.84135         101.767    
     2.84245         101.814    
     2.84275         101.826    
     2.84305         101.839    
     2.84415         101.886    
     2.84560         101.948    
     2.84670         101.995    
     2.84700         102.008    
     2.84730         102.020    
     2.84840         102.067    
     2.84985         102.129    
     2.85095         102.176    
     2.85125         102.188    
     2.85155         102.201    
     2.85265         102.248    
     2.85410         102.309    
     2.85520         102.356    
     2.85550         102.369    
     2.85580         102.381    
     2.85690         102.428    
     2.85835         102.489    
     2.85945         102.536    
     2.85975         102.549    
     2.86005         102.561    
     2.86115         102.608    
     2.86260         102.669    
     2.86370         102.716    
     2.86400         102.728    
     2.86430         102.741    
     2.86540         102.787    
     2.86685         102.848    
     2.86795         102.895    
     2.86825         102.908    
     2.86855         102.920    
     2.86965         102.967    
     2.87110         103.027    
     2.87220         103.074    
     2.87250         103.086    
     2.87280         103.099    
     2.87390         103.145    
     2.87535         103.206    
     2.87645         103.252    
     2.87675         103.265    
     2.87705         103.277    
     2.87815         103.324    
     2.87960         103.384    
     2.88070         103.431    
     2.88100         103.443    
     2.88130         103.455    
     2.88240         103.502    
     2.88385         103.562    
     2.88495         103.608    
     2.88525         103.621    
     2.88555         103.633    
     2.88665         103.679    
     2.88810         103.740    
     2.88920         103.786    
     2.88950         103.798    
     2.88980         103.810    
     2.89090         103.857    
     2.89235         103.917    
     2.89345         103.963    
     2.89375         103.975    
     2.89405         103.987    
     2.89515         104.033    
     2.89660         104.094    
     2.89770         104.140    
     2.89800         104.152    
     2.89830         104.164    
     2.89940         104.210    
     2.90085         104.270    
     2.90195         104.316    
     2.90225         104.328    
     2.90255         104.340    
     2.90365         104.386    
     2.90510         104.446    
     2.90620         104.492    
     2.90650         104.504    
     2.90680         104.516    
     2.90790         104.562    
     2.90935         104.622    
     2.91045         104.667    
     2.91075         104.680    
     2.91105         104.692    
     2.91215         104.737    
     2.91360         104.797    
     2.91470         104.843    
     2.91500         104.855    
     2.91530         104.867    
     2.91640         104.913    
     2.91785         104.972    
     2.91895         105.018    
     2.91925         105.030    
     2.91955         105.042    
     2.92065         105.087    
     2.92210         105.147    
     2.92320         105.192    
     2.92350         105.204    
     2.92380         105.216    
     2.92490         105.262    
     2.92635         105.321    
     2.92745         105.366    
     2.92775         105.378    
     2.92805         105.390    
     2.92915         105.436    
     2.93060         105.495    
     2.93170         105.540    
     2.93200         105.552    
     2.93230         105.564    
     2.93340         105.609    
     2.93485         105.668    
     2.93595         105.713    
     2.93625         105.725    
     2.93655         105.737    
     2.93765         105.783    
     2.93910         105.841    
     2.94020         105.886    
     2.94050         105.899    
     2.94080         105.910    
     2.94190         105.955    
     2.94335         106.014    
     2.94445         106.059    
     2.94475         106.071    
     2.94505         106.083    
     2.94615         106.128    
     2.94760         106.187    
     2.94870         106.232    
     2.94900         106.244    
     2.94930         106.255    
     2.95040         106.300    
     2.95185         106.359    
     2.95295         106.404    
     2.95325         106.416    
     2.95355         106.427    
     2.95465         106.472    
     2.95610         106.531    
     2.95720         106.575    
     2.95750         106.587    
     2.95780         106.599    
