 Safety factor
  rad  pla 
 1408 1006
 rho(m) q 
     1.27903         1.81806    
     1.28288         1.82008    
     1.28792         1.82274    
     1.29177         1.82479    
     1.29280         1.82534    
     1.29383         1.82589    
     1.29768         1.82796    
     1.30272         1.83068    
     1.30657         1.83278    
     1.30760         1.83335    
     1.30863         1.83391    
     1.31248         1.83603    
     1.31752         1.83882    
     1.32137         1.84097    
     1.32240         1.84155    
     1.32343         1.84212    
     1.32728         1.84429    
     1.33232         1.84715    
     1.33617         1.84935    
     1.33720         1.84994    
     1.33823         1.85053    
     1.34208         1.85275    
     1.34712         1.85567    
     1.35097         1.85792    
     1.35200         1.85852    
     1.35303         1.85912    
     1.35688         1.86140    
     1.36192         1.86438    
     1.36577         1.86668    
     1.36680         1.86730    
     1.36783         1.86791    
     1.37168         1.87024    
     1.37672         1.87329    
     1.38057         1.87564    
     1.38160         1.87627    
     1.38263         1.87690    
     1.38648         1.87927    
     1.39152         1.88239    
     1.39537         1.88479    
     1.39640         1.88543    
     1.39743         1.88608    
     1.40128         1.88850    
     1.40632         1.89168    
     1.41017         1.89414    
     1.41120         1.89479    
     1.41223         1.89545    
     1.41608         1.89792    
     1.42112         1.90117    
     1.42497         1.90368    
     1.42600         1.90435    
     1.42703         1.90502    
     1.43088         1.90755    
     1.43592         1.91086    
     1.43977         1.91342    
     1.44080         1.91410    
     1.44183         1.91479    
     1.44568         1.91737    
     1.45072         1.92075    
     1.45457         1.92336    
     1.45560         1.92406    
     1.45663         1.92476    
     1.46048         1.92739    
     1.46552         1.93084    
     1.46937         1.93350    
     1.47040         1.93421    
     1.47143         1.93493    
     1.47528         1.93761    
     1.48032         1.94113    
     1.48417         1.94385    
     1.48520         1.94457    
     1.48623         1.94530    
     1.49008         1.94803    
     1.49512         1.95162    
     1.49897         1.95439    
     1.50000         1.95513    
     1.50092         1.95580    
     1.50439         1.95830    
     1.50891         1.96159    
     1.51238         1.96412    
     1.51330         1.96480    
     1.51422         1.96548    
     1.51769         1.96803    
     1.52221         1.97137    
     1.52568         1.97394    
     1.52660         1.97463    
