 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
     2.30691         1.55000    
     2.31038         1.55000    
     2.31130         1.55000    
     2.31222         1.55000    
     2.31569         1.55000    
     2.32021         1.55000    
     2.32368         1.55000    
     2.32460         1.55000    
     2.32552         1.55000    
     2.32899         1.55000    
     2.33351         1.55000    
     2.33698         1.55000    
     2.33790         1.55000    
     2.33882         1.55000    
     2.34229         1.55000    
     2.34681         1.55000    
     2.35028         1.55000    
     2.35120         1.55000    
     2.35212         1.55000    
     2.35559         1.55000    
     2.36011         1.55000    
     2.36358         1.55000    
     2.36450         1.55000    
     2.36542         1.55000    
     2.36889         1.55000    
     2.37341         1.55000    
     2.37688         1.55000    
     2.37780         1.55000    
     2.37872         1.55000    
     2.38219         1.55000    
     2.38671         1.55000    
     2.39018         1.55000    
     2.39110         1.55000    
     2.39202         1.55000    
     2.39549         1.55000    
     2.40001         1.55000    
     2.40348         1.55000    
     2.40440         1.55000    
     2.40532         1.55000    
     2.40879         1.55000    
     2.41331         1.55000    
     2.41678         1.55000    
     2.41770         1.55000    
     2.41862         1.55000    
     2.42209         1.55000    
     2.42661         1.55000    
     2.43008         1.55000    
     2.43100         1.55000    
     2.43192         1.55000    
     2.43539         1.55000    
     2.43991         1.55000    
     2.44338         1.55000    
     2.44430         1.55000    
     2.44522         1.55000    
     2.44869         1.55000    
     2.45321         1.55000    
     2.45668         1.55000    
     2.45760         1.55000    
     2.45852         1.55000    
     2.46199         1.55000    
     2.46651         1.55000    
     2.46998         1.55000    
     2.47090         1.55000    
     2.47182         1.55000    
     2.47529         1.55000    
     2.47981         1.55000    
     2.48328         1.55000    
     2.48420         1.55000    
     2.48512         1.55000    
     2.48859         1.55000    
     2.49311         1.55000    
     2.49658         1.55000    
     2.49750         1.55000    
     2.49842         1.55000    
     2.50189         1.55000    
     2.50641         1.55000    
     2.50988         1.55000    
     2.51080         1.55000    
     2.51172         1.55000    
     2.51519         1.55000    
     2.51971         1.55000    
     2.52318         1.55000    
     2.52410         1.55000    
     2.52502         1.55000    
     2.52849         1.55000    
     2.53301         1.55000    
     2.53648         1.55000    
     2.53740         1.55000    
     2.53832         1.55000    
     2.54179         1.55000    
     2.54631         1.55000    
     2.54978         1.55000    
     2.55070         1.55000    
     2.55162         1.55000    
     2.55509         1.55000    
     2.55961         1.55000    
     2.56308         1.55000    
     2.56400         1.55000    
     2.56492         1.55000    
     2.56839         1.55000    
     2.57291         1.55000    
     2.57638         1.55000    
     2.57730         1.55000    
     2.57822         1.55000    
     2.58169         1.55000    
     2.58621         1.55000    
     2.58968         1.55000    
     2.59060         1.55000    
     2.59152         1.55000    
     2.59499         1.55000    
     2.59951         1.55000    
     2.60298         1.55000    
     2.60390         1.55000    
     2.60482         1.55000    
     2.60829         1.55000    
     2.61281         1.55000    
     2.61628         1.55000    
     2.61720         1.55000    
     2.61812         1.55000    
     2.62159         1.55000    
     2.62611         1.55000    
     2.62958         1.55000    
     2.63050         1.55000    
     2.63142         1.55000    
     2.63489         1.55000    
     2.63941         1.55000    
     2.64288         1.55000    
     2.64380         1.55000    
     2.64472         1.55000    
     2.64819         1.55000    
     2.65271         1.55000    
     2.65618         1.55000    
     2.65710         1.55000    
     2.65802         1.55000    
     2.66149         1.55000    
     2.66601         1.55000    
     2.66948         1.55000    
     2.67040         1.55000    
     2.67132         1.55000    
     2.67479         1.55000    
     2.67931         1.55000    
     2.68278         1.55000    
     2.68370         1.55000    
     2.68462         1.55000    
     2.68809         1.55000    
     2.69261         1.55000    
     2.69608         1.55000    
     2.69700         1.55000    
     2.69792         1.55000    
     2.70139         1.55000    
     2.70591         1.55000    
     2.70938         1.55000    
     2.71030         1.55000    
     2.71122         1.55000    
     2.71469         1.55000    
     2.71921         1.55000    
     2.72268         1.55000    
     2.72360         1.55000    
     2.72452         1.55000    
     2.72799         1.55000    
     2.73251         1.55000    
     2.73598         1.55000    
     2.73690         1.55000    
     2.73782         1.55000    
     2.74129         1.55000    
     2.74581         1.55000    
     2.74928         1.55000    
     2.75020         1.55000    
     2.75112         1.55000    
     2.75459         1.55000    
     2.75911         1.55000    
     2.76258         1.55000    
     2.76350         1.55000    
     2.76442         1.55000    
     2.76789         1.55000    
     2.77241         1.55000    
     2.77588         1.55000    
     2.77680         1.55000    
     2.77772         1.55000    
     2.78119         1.55000    
     2.78571         1.55000    
     2.78918         1.55000    
     2.79010         1.55000    
     2.79102         1.55000    
     2.79449         1.55000    
     2.79901         1.55000    
     2.80248         1.55000    
     2.80340         1.55000    
     2.80432         1.55000    
     2.80779         1.55000    
     2.81231         1.55000    
     2.81578         1.55000    
     2.81670         1.55000    
     2.81762         1.55000    
     2.82109         1.55000    
