Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 1721.01 seconds

index % time    self  children    called     name
                0.00 1720.86       1/1           main [2]
[1]    100.0    0.00 1720.86       1         MAIN__ [1]
                0.71  860.03       1/1           outpow_ [3]
                0.09  743.62       1/1           genera3_ [5]
                0.63  113.54       2/2           outrf2_ [11]
                0.05    1.49       1/1           outdis_ern_ [34]
                0.43    0.13       1/1           tables_ [42]
                0.08    0.00       1/1           outtab_ [58]
                0.04    0.00       1/1           outgrid_ [64]
                0.00    0.01       1/1           groots_ [68]
                0.01    0.00       2/2           dfftci_ [71]
                0.00    0.00       1/1           filant_ [79]
                0.00    0.00       1/1           outbit_ [80]
                0.00    0.00       1/1           intbfp_ [82]
                0.00    0.00       1/111963996     zset_ [21]
                0.00    0.00      18/2120        second_ [92]
                0.00    0.00       7/7           longeurs_ [116]
                0.00    0.00       5/112         i1st_ [108]
                0.00    0.00       5/5           cuteq_ [119]
                0.00    0.00       3/339         nsum_ [104]
                0.00    0.00       2/2           int_to_string2_ [134]
                0.00    0.00       2/2           fbtclo_ [132]
                0.00    0.00       2/2           df3tci_ [127]
                0.00    0.00       1/5077        iset_ [90]
                0.00    0.00       1/1           fbtini_ [143]
                0.00    0.00       1/1           presol_ [150]
                0.00    0.00       1/1           outrff_ [149]
                0.00    0.00       1/3           aqclose_ [122]
                0.00    0.00       1/3           ascl_ [123]
                0.00    0.00       1/1           df3tri_ [140]
                0.00    0.00       1/1           dfftri_ [141]
                0.00    0.00       1/1           anjump_ [139]
-----------------------------------------------
                                                 <spontaneous>
[2]    100.0    0.00 1720.86                 main [2]
                0.00 1720.86       1/1           MAIN__ [1]
-----------------------------------------------
                0.71  860.03       1/1           MAIN__ [1]
[3]     50.0    0.71  860.03       1         outpow_ [3]
              843.49   14.23 3090432/3090432     powabs_ [4]
                2.30    0.00 3090432/20380270     zcopy_ [25]
                0.01    0.00    6036/6036        dsum_ [69]
                0.00    0.00       7/6494071     dset_ [26]
                0.00    0.00       9/4770669     dcopy_ [31]
                0.00    0.00    1206/30149       gauss_ [86]
                0.00    0.00       9/112         i1st_ [108]
                0.00    0.00       3/339         nsum_ [104]
-----------------------------------------------
              843.49   14.23 3090432/3090432     outpow_ [3]
[4]     49.8  843.49   14.23 3090432         powabs_ [4]
               14.23    0.00 6180864/6494071     dset_ [26]
                0.00    0.00 3090432/88438225     inscr_ [59]
-----------------------------------------------
                0.09  743.62       1/1           MAIN__ [1]
[5]     43.2    0.09  743.62       1         genera3_ [5]
                0.05  336.15     282/287         fbstep_ [6]
               13.99  321.02     482/482         ascurl_ [7]
               55.69    0.00  504012/2383714     zaxpy_ [8]
                0.00   10.34       1/1           cgefa3_ [28]
                0.01    6.36       5/5           regjum_ [29]
                0.00    0.00     281/6494071     dset_ [26]
                0.00    0.00     281/284         filrhs_ [78]
                0.00    0.00       1/1           axisbc_ [81]
                0.00    0.00       1/1           proini_ [83]
                0.00    0.00    2098/2120        second_ [92]
                0.00    0.00     201/201         asplas_ [107]
                0.00    0.00      10/112         i1st_ [108]
                0.00    0.00       3/339         nsum_ [104]
                0.00    0.00       1/2           bafaga_ [126]
-----------------------------------------------
                0.00    5.96       5/287         regjum_ [29]
                0.05  336.15     282/287         genera3_ [5]
[6]     19.9    0.05  342.11     287         fbstep_ [6]
              236.42    0.00     858/858         zgemm_ [10]
                0.09   37.55     287/287         cgesl2_ [19]
                0.00   31.33     286/286         dccgcg_ [20]
                1.31   30.00     287/573         dl2ccg_ <cycle 1> [18]
                4.16    0.00  331934/499178      izamax_ [30]
                0.00    0.50     576/576         aswr_ [44]
                0.00    0.29    1146/1474        packma_ [49]
                0.25    0.00  332599/20380270     zcopy_ [25]
                0.00    0.13     286/942         asrd_ [46]
                0.09    0.00  332221/111963996     zset_ [21]
                0.00    0.00     860/1516        aswa_ [96]
                0.00    0.00     573/860         e1pop_ [100]
-----------------------------------------------
               13.99  321.02     482/482         genera3_ [5]
[7]     19.5   13.99  321.02     482         ascurl_ [7]
               27.78  227.03  155172/155365      polfft_ [9]
               28.32    0.00    1928/1928        mu3tf2bl_fast_ [22]
               15.36    2.64 9397125/9397125     vacmbg_ [24]
                1.76   10.93 7564836/7574245     plasmb_ [27]
                5.63    0.00 7574245/20380270     zcopy_ [25]
                0.64    0.94    1125/2533        foucog_ [33]
                0.00    0.00   41765/6765930     mul3_fast_ [54]
                0.00    0.00     482/111963996     zset_ [21]
                0.00    0.00       1/332663      zscal_ [38]
-----------------------------------------------
                             240656135             zaxpy_ [8]
               10.33    0.00   93528/2383714     cgefa3_ [28]
               18.34    0.00  165971/2383714     dl2tcg_ <cycle 1> [23]
               36.68    0.00  331942/2383714     cgesl2_ [19]
               36.71    0.00  332229/2383714     dl2ccg_ <cycle 1> [18]
               55.69    0.00  504012/2383714     genera3_ [5]
              105.64    0.00  956032/2383714     outrf2_ [11]
[8]     15.3  263.39    0.00 2383714+240656135 zaxpy_ [8]
                             240656135             zaxpy_ [8]
-----------------------------------------------
                0.03    0.28     193/155365      intbou_ [47]
               27.78  227.03  155172/155365      ascurl_ [7]
[9]     14.8   27.81  227.31  155365         polfft_ [9]
               47.00   56.48  310730/310730      hottev_ [12]
               13.56   88.03 4346553/4422423     df2tcb_ [13]
               21.90    0.00 84984655/111963996     zset_ [21]
                0.33    0.00  310730/4770669     dcopy_ [31]
-----------------------------------------------
              236.42    0.00     858/858         fbstep_ [6]
[10]    13.7  236.42    0.00     858         zgemm_ [10]
                0.00    0.00    3432/3436        lsame_ [91]
-----------------------------------------------
                0.63  113.54       2/2           MAIN__ [1]
[11]     6.6    0.63  113.54       2         outrf2_ [11]
              105.64    0.00  956032/2383714     zaxpy_ [8]
                4.55    0.00    1408/1408        magmod_ [32]
                0.80    1.17    1408/2533        foucog_ [33]
                0.72    0.00  968904/20380270     zcopy_ [25]
                0.00    0.37     328/328         rdsol_ [48]
                0.14    0.00      17/17          idmax_ [55]
                0.13    0.00      17/17          idmin_ [56]
                0.01    0.00   40841/111963996     zset_ [21]
                0.00    0.00    9409/9409        bc2spectrum_ [76]
                0.00    0.00       4/18643       df3trf_ [52]
                0.00    0.00      14/6494071     dset_ [26]
                0.00    0.00      25/4770669     dcopy_ [31]
                0.00    0.00       1/1408        idamin_ [70]
                0.00    0.00       4/18643       df2trf_ [67]
                0.00    0.00       1/165972      zdotc_ [50]
                0.00    0.00   27257/30149       gauss_ [86]
                0.00    0.00     497/25472       cdeid_ [87]
                0.00    0.00     400/17615       dsinc_ [88]
                0.00    0.00      52/112         i1st_ [108]
                0.00    0.00      34/339         nsum_ [104]
                0.00    0.00      24/412         tofac_ [103]
                0.00    0.00      15/15          rveno_ [114]
                0.00    0.00      12/36          bafadn_ [109]
                0.00    0.00       7/7           ceilq_ [115]
                0.00    0.00       6/18          bafad_ [111]
                0.00    0.00       1/2120        second_ [92]
                0.00    0.00       1/1           mucrvz_ [148]
-----------------------------------------------
               47.00   56.48  310730/310730      polfft_ [9]
[12]     6.0   47.00   56.48  310730         hottev_ [12]
               55.46    0.08  310730/310730      riftab_ [17]
                0.72    0.00  310730/6494071     dset_ [26]
                0.16    0.00  621460/111963996     zset_ [21]
                0.07    0.00 84829290/88438225     inscr_ [59]
                0.00    0.00  310344/310344      icopy_ [85]
-----------------------------------------------
                0.00    0.00       4/4422423     filant_ [79]
                0.24    1.54   75866/4422423     foucog_ [33]
               13.56   88.03 4346553/4422423     polfft_ [9]
[13]     6.0   13.80   89.57 4422423         df2tcb_ [13]
                0.74   88.83 4422423/4422423     df3tcb_ [14]
-----------------------------------------------
                0.74   88.83 4422423/4422423     df2tcb_ [13]
[14]     5.2    0.74   88.83 4422423         df3tcb_ [14]
               84.09    0.00 19007517/19007517     df6tcb_ [15]
                4.74    0.00 4422423/4770669     dcopy_ [31]
-----------------------------------------------
               84.09    0.00 19007517/19007517     df3tcb_ [14]
[15]     4.9   84.09    0.00 19007517         df6tcb_ [15]
-----------------------------------------------
[16]     3.6    2.62   59.90     573+862     <cycle 1 as a whole> [16]
                1.23   37.94     288             dl2ccg_ <cycle 1> [18]
                1.39   21.96     287             dl2tcg_ <cycle 1> [23]
                0.00    0.00     860             e1psh_ <cycle 1> [101]
-----------------------------------------------
               55.46    0.08  310730/310730      hottev_ [12]
[17]     3.2   55.46    0.08  310730         riftab_ [17]
                0.08    0.00  310730/111963996     zset_ [21]
                0.00    0.00    2250/7773735     zif4_ [40]
-----------------------------------------------
                                   1             e1psh_ <cycle 1> [101]
                1.31   30.00     287/573         fbstep_ [6]
[18]     2.3    1.23   37.94     288         dl2ccg_ <cycle 1> [18]
               36.71    0.00  332229/2383714     zaxpy_ [8]
                0.84    0.00  167406/167406      dzasum_ [41]
                0.37    0.00  165971/165972      zdotc_ [50]
                0.02    0.00     287/861         dmach_ [62]
                0.00    0.00    7771/15137443     zdscal_ [37]
                0.00    0.00     287/111963996     zset_ [21]
                0.00    0.00     287/287         n1rty_ [106]
                0.00    0.00     287/860         e1pop_ [100]
                0.00    0.00       2/2           e1inpl_ [128]
                0.00    0.00       2/2           e1std_ [130]
                0.00    0.00       2/2           e1mes_ [129]
                                 287             e1psh_ <cycle 1> [101]
                                 287             dl2tcg_ <cycle 1> [23]
-----------------------------------------------
                0.09   37.55     287/287         fbstep_ [6]
[19]     2.2    0.09   37.55     287         cgesl2_ [19]
               36.68    0.00  331942/2383714     zaxpy_ [8]
                0.60    0.00  166258/332663      zscal_ [38]
                0.27    0.00   56893/222864      zswap_ [39]
                0.00    0.00  332229/332229      zgeru_ [84]
-----------------------------------------------
                0.00   31.33     286/286         fbstep_ [6]
[20]     1.8    0.00   31.33     286         dccgcg_ [20]
                1.31   29.90     286/573         e1psh_ <cycle 1> [101]
                0.12    0.00  165676/20380270     zcopy_ [25]
-----------------------------------------------
                0.00    0.00       1/111963996     axisbc_ [81]
                0.00    0.00       1/111963996     MAIN__ [1]
                0.00    0.00       2/111963996     filant_ [79]
                0.00    0.00       5/111963996     foucoj_ [77]
                0.00    0.00     287/111963996     dl2ccg_ <cycle 1> [18]
                0.00    0.00     482/111963996     ascurl_ [7]
                0.00    0.00    7966/111963996     foucog_ [33]
                0.00    0.00    9409/111963996     bc2spectrum_ [76]
                0.01    0.00   40841/111963996     outrf2_ [11]
                0.01    0.00   41765/111963996     intbou_ [47]
                0.08    0.00  310730/111963996     riftab_ [17]
                0.09    0.00  332221/111963996     fbstep_ [6]
